"x","y","Coastal_Aerosol","Blue","Green","Red","Near_Infrared","Shortwave_Infrared_1","Shortwave_Infrared_2","image_year","agriculture","Cropland_and_Pasture","Orchards_Groves_Vineyards","Confined_Feeding","Other_Ag_Land","Herbaceous_Rangeland","Shrub_Brush_Rangeland","Mixed_Rangeland","ndvi","ndwi","evi","sr","ag_type"
-158.066434499566,21.4439087260381,0.893987476825714,0.924431264400482,1.05360627174377,1.04421877861023,1.89736878871918,1.58482503890991,1.24011874198914,2019,"Yes",1,0,0,0,0,0,0,0.290030465040176,-0.285926685142178,0.956683449714426,1.81702228267186,"Cropland_Pasture"
-158.064188711356,21.428188208566,0.991369545459747,1.02198255062103,1.1205347776413,1.14042603969574,1.72358691692352,1.42081737518311,1.17563045024872,2020,"Yes",1,0,0,0,0,0,0,0.203616703576703,-0.212034576591665,0.766802772015926,1.51135352660254,"Cropland_Pasture"
-157.999060853257,21.3742892915189,0.861780762672424,0.902973055839539,1.06960773468018,1.03245389461517,2.20093846321106,1.71377313137054,1.25314998626709,2016,"Yes",1,0,0,0,0,0,0,0.361380382980013,-0.345914920651582,1.11353648192299,2.13175472017704,"Cropland_Pasture"
-158.091138169879,21.5449691955016,0.864357888698578,0.900547385215759,1.05856311321259,1.05618417263031,1.85852110385895,1.62660002708435,1.25781047344208,2016,"Yes",1,0,0,0,0,0,0,0.275272061878945,-0.274232051980123,0.821554487154058,1.75965627209742,"Cropland_Pasture"
-158.09787553451,21.4259424203557,0.851581811904907,0.865072727203369,0.951863646507263,0.895245432853699,1.81871819496155,1.18274545669556,0.951890885829926,2016,"Yes",0,0,0,0,0,1,0,0.340267184365787,-0.312878159915582,1.35633653228636,2.03153026892768,"Shrub_Range"
-158.151774451557,21.5584439247634,0.813300013542175,0.83813750743866,0.966762483119965,0.927450001239777,1.87741255760193,1.35076248645782,1.05789995193481,2016,"Yes",0,0,0,0,0,0,1,0.338684173086345,-0.320180741847319,1.10149206144985,2.02427360514559,"Mixed_Range"
-157.844101466746,21.3787808679395,0.793375015258789,0.811775028705597,0.944549977779388,0.860350012779236,2.27185010910034,1.31087505817413,0.984849989414215,2021,"Yes",0,0,0,0,0,1,0,0.450641734690339,-0.412666364714778,1.50438858741243,2.64061146667675,"Shrub_Range"
-158.010289794308,21.5382318308707,0.891668200492859,0.912686347961426,1.0338681936264,0.983277261257172,2.05790901184082,1.40284085273743,1.07373631000519,2014,"Yes",1,0,0,0,0,0,0,0.353359397972339,-0.331214298495894,1.27179872186173,2.09290816835292,"Cropland_Pasture"
-158.066434499566,21.6145886300208,0.799085199832916,0.82861852645874,0.962051868438721,0.926407396793365,1.74232959747314,1.38581109046936,1.05847406387329,2017,"Yes",1,0,0,0,0,0,0,0.305733462095627,-0.288523545538841,0.977791692564625,1.88073800306861,"Cropland_Pasture"
-157.71833732697,21.2956867041584,0.858366668224335,0.909483313560486,1.04531669616699,1.07091665267944,1.76921665668488,1.71451663970947,1.31498336791992,2024,"Yes",0,0,0,0,0,1,0,0.245868742042159,-0.257200704260401,0.735488750877317,1.65205821784383,"Shrub_Range"
-157.745286785493,21.3787808679395,0.81451427936554,0.852514266967773,1.00450003147125,0.952214300632477,2.1029999256134,1.48961424827576,1.12334287166595,2016,"Yes",0,0,0,0,0,1,0,0.376662826159644,-0.353499568564025,1.18763620584912,2.20853638116604,"Shrub_Range"
-158.142791298716,21.473103972772,0.825022220611572,0.84734445810318,0.922566652297974,0.940922200679779,1.46833336353302,1.37124443054199,1.11111116409302,2021,"Yes",0,0,0,0,0,1,0,0.218910426393709,-0.228268312192619,0.749681915447588,1.56052579317632,"Shrub_Range"
-158.055205558514,21.5674270776046,0.851152956485748,0.883223533630371,1.01773524284363,0.996900022029877,1.7953587770462,1.46739995479584,1.16071176528931,2018,"Yes",1,0,0,0,0,0,0,0.285954423451194,-0.276429983749005,0.927326582736936,1.80094165650685,"Cropland_Pasture"
